# ./Data/BW2025-02-07_15:55:39_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis):  NA
# Calibrator used: YES
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
7.284943103790283203e+00 -9.393000000000000238e-01
7.327841043472290039e+00 -9.394000000000000128e-01
7.384811162948608398e+00 -9.393000000000000238e-01
7.427797317504882812e+00 -9.395999999999999908e-01
7.484835147857666016e+00 -9.394000000000000128e-01
7.526808023452758789e+00 -9.397999999999999687e-01
7.583790063858032227e+00 -9.393000000000000238e-01
7.626798152923583984e+00 -9.399999999999999467e-01
7.682870149612426758e+00 -9.393000000000000238e-01
7.725766181945800781e+00 -9.397999999999999687e-01
7.782754182815551758e+00 -9.393000000000000238e-01
7.825857162475585938e+00 -9.395999999999999908e-01
7.882773399353027344e+00 -9.395999999999999908e-01
7.924784183502197266e+00 -9.394000000000000128e-01
7.981737375259399414e+00 -9.392000000000000348e-01
8.024759054183959961e+00 -9.402000000000000357e-01
8.081727981567382812e+00 -9.401000000000000467e-01
8.124721288681030273e+00 -9.407999999999999696e-01
8.180719137191772461e+00 -9.405999999999999917e-01
8.237750053405761719e+00 -9.405999999999999917e-01
8.280805110931396484e+00 -9.409999999999999476e-01
8.337718009948730469e+00 -9.414000000000000146e-01
8.379708290100097656e+00 -9.414000000000000146e-01
8.436697244644165039e+00 -9.415000000000000036e-01
8.479752302169799805e+00 -9.412000000000000366e-01
8.536708116531372070e+00 -9.413000000000000256e-01
8.578675270080566406e+00 -9.413000000000000256e-01
8.635666131973266602e+00 -9.408999999999999586e-01
8.678752422332763672e+00 -9.414000000000000146e-01
8.735723972320556641e+00 -9.408999999999999586e-01
8.778724193572998047e+00 -9.413000000000000256e-01
8.834655284881591797e+00 -9.409999999999999476e-01
8.877677202224731445e+00 -9.409999999999999476e-01
8.934655189514160156e+00 -9.407999999999999696e-01
8.991635322570800781e+00 -9.411000000000000476e-01
9.033641338348388672e+00 -9.408999999999999586e-01
9.090670108795166016e+00 -9.411000000000000476e-01
9.133636236190795898e+00 -9.409999999999999476e-01
9.190648078918457031e+00 -9.412000000000000366e-01
9.233610391616821289e+00 -9.411000000000000476e-01
9.289635181427001953e+00 -9.409999999999999476e-01
9.332604169845581055e+00 -9.408999999999999586e-01
9.389627218246459961e+00 -9.413000000000000256e-01
9.432590246200561523e+00 -9.409999999999999476e-01
9.489668130874633789e+00 -9.409999999999999476e-01
9.531600236892700195e+00 -9.411000000000000476e-01
9.588585376739501953e+00 -9.409999999999999476e-01
9.631598234176635742e+00 -9.409999999999999476e-01
9.688556194305419922e+00 -9.412000000000000366e-01
9.730594158172607422e+00 -9.408999999999999586e-01
9.787631273269653320e+00 -9.411000000000000476e-01
9.830564260482788086e+00 -9.412000000000000366e-01
9.887672185897827148e+00 -9.412000000000000366e-01
9.929863214492797852e+00 -9.408999999999999586e-01
9.986975193023681641e+00 -9.409999999999999476e-01
1.002983236312866211e+01 -9.409999999999999476e-01
1.008693122863769531e+01 -9.412000000000000366e-01
1.014391922950744629e+01 -9.413000000000000256e-01
1.018581223487854004e+01 -9.407999999999999696e-01
1.024286413192749023e+01 -9.408999999999999586e-01
1.028583431243896484e+01 -9.407999999999999696e-01
1.034289312362670898e+01 -9.413000000000000256e-01
1.038477635383605957e+01 -9.408999999999999586e-01
1.044195318222045898e+01 -9.411000000000000476e-01
1.048483037948608398e+01 -9.409999999999999476e-01
1.054178118705749512e+01 -9.412000000000000366e-01
1.058377313613891602e+01 -9.409999999999999476e-01
1.064085221290588379e+01 -9.413000000000000256e-01
1.068370914459228516e+01 -9.413000000000000256e-01
1.074071216583251953e+01 -9.413000000000000256e-01
1.078276824951171875e+01 -9.411000000000000476e-01
1.084078717231750488e+01 -9.415000000000000036e-01
1.088273024559020996e+01 -9.411000000000000476e-01
1.093946695327758789e+01 -9.409999999999999476e-01
1.098247909545898438e+01 -9.408999999999999586e-01
1.103844714164733887e+01 -9.408999999999999586e-01
1.109555196762084961e+01 -9.407999999999999696e-01
1.113848233222961426e+01 -9.405999999999999917e-01
1.119545531272888184e+01 -9.409999999999999476e-01
1.123744416236877441e+01 -9.406999999999999806e-01
1.129444909095764160e+01 -9.406999999999999806e-01
1.133741211891174316e+01 -9.408999999999999586e-01
1.139444518089294434e+01 -9.413000000000000256e-01
1.143741106986999512e+01 -9.408999999999999586e-01
1.149342632293701172e+01 -9.409999999999999476e-01
1.153639030456542969e+01 -9.408999999999999586e-01
1.159349417686462402e+01 -9.411000000000000476e-01
1.163638806343078613e+01 -9.407999999999999696e-01
1.169341826438903809e+01 -9.414000000000000146e-01
1.173539710044860840e+01 -9.409999999999999476e-01
1.179235625267028809e+01 -9.414000000000000146e-01
1.183534312248229980e+01 -9.405000000000000027e-01
1.189240026473999023e+01 -9.415000000000000036e-01
1.193539404869079590e+01 -9.405999999999999917e-01
1.199135422706604004e+01 -9.407999999999999696e-01
1.204835820198059082e+01 -9.407999999999999696e-01
1.209132003784179688e+01 -9.408999999999999586e-01
1.214836621284484863e+01 -9.405999999999999917e-01
1.219035530090332031e+01 -9.407999999999999696e-01
1.224739503860473633e+01 -9.408999999999999586e-01
1.229036307334899902e+01 -9.407999999999999696e-01
1.234732794761657715e+01 -9.412000000000000366e-01
1.238929510116577148e+01 -9.406999999999999806e-01
1.244628119468688965e+01 -9.409999999999999476e-01
1.248927617073059082e+01 -9.411000000000000476e-01
1.254628515243530273e+01 -9.409999999999999476e-01
